"invoice_no","stock_code","description","quantity","invoice_date","unit_price","customer_id","country"
"554088","23191","BUNDLE OF 3 RETRO EXERCISE BOOKS",3,"2011-05-22 12:12:00",1.65,"16801","United Kingdom"
"547324","21232","STRAWBERRY CERAMIC TRINKET BOX",12,"2011-03-22 11:27:00",1.25,"13014","United Kingdom"
"564379","71477","COLOUR GLASS. STAR T-LIGHT HOLDER",24,"2011-08-25 10:32:00",2.75,"16779","United Kingdom"
"579149","23521","CAT AND BIRD WALL ART",6,"2011-11-28 13:21:00",2.89,"13844","United Kingdom"
"561195","22804","CANDLEHOLDER PINK HANGING HEART",2,"2011-07-25 13:57:00",2.95,"14796","United Kingdom"
"572183","23209","LUNCH BAG DOILEY PATTERN",10,"2011-10-21 10:50:00",1.65,"16153","United Kingdom"
"569843","23168","CLASSIC CAFE SUGAR DISPENSER",1,"2011-10-06 13:29:00",1.25,"14449","United Kingdom"
"562283","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",6,"2011-08-04 10:43:00",2.95,"15249","United Kingdom"
"553385","23281","FOLDING BUTTERFLY MIRROR RED",2,"2011-05-16 15:53:00",0.83,"16710","United Kingdom"
"569079","23359","SET OF 12 T-LIGHTS VINTAGE DOILEY",12,"2011-09-30 11:45:00",1.95,"14226","United Kingdom"
"556727","21175","GIN + TONIC DIET METAL SIGN",12,"2011-06-14 11:33:00",2.55,"17675","United Kingdom"
"580170","22197","POPCORN HOLDER",1000,"2011-12-02 11:39:00",0.72,"17949","United Kingdom"
"578814","23292","SPACE BOY CHILDRENS CUP",1,"2011-11-25 13:40:00",1.25,"12748","United Kingdom"
"554658","21232","STRAWBERRY CERAMIC TRINKET BOX",12,"2011-05-25 14:18:00",1.25,"12839","United Kingdom"
"574629","23283","DOORMAT VINTAGE LEAF",1,"2011-11-06 11:21:00",8.25,"16326","United Kingdom"
"577295","23203","JUMBO BAG DOILEY PATTERNS",10,"2011-11-18 12:46:00",2.08,"12682","France"
"571203","23203","JUMBO BAG DOILEY PATTERNS",100,"2011-10-14 12:33:00",1.79,"17677","United Kingdom"
"560875","21928","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",10,"2011-07-21 15:12:00",2.08,"13562","United Kingdom"
"536415","22632","HAND WARMER RED POLKA DOT",3,"2010-12-01 11:57:00",2.1,"12838","United Kingdom"
"562203","23306","SET OF 36 DOILIES PANTRY DESIGN",12,"2011-08-03 12:50:00",1.45,"16102","United Kingdom"
"553174","85123A","CREAM HANGING HEART T-LIGHT HOLDER",2,"2011-05-15 11:04:00",2.95,"16206","United Kingdom"
"543736","22179","SET 10 LIGHTS NIGHT OWL",2,"2011-02-11 12:36:00",6.75,"15044","United Kingdom"
